wallet_address,total_deposit_usd,total_borrow_usd,total_repay_usd,total_redeem_usd,num_liquidations,num_deposits,num_borrows,num_repays,num_redeems,num_transfers,unique_tx_types,total_tx_count,total_comp_received,avg_borrow_per_tx,avg_repay_per_tx,compound_core_tx_count,compound_reward_tx_count,interest_event_count,collateral_management_count,defi_interaction_count,token_interaction_count,negative_event_count,staking_voting_count,defi_diversity_score,compound_core_tx_ratio,collateral_to_borrow_ratio,last_tx_timestamp,debt_to_collateral_ratio,liquidation_to_tx_ratio,credit_score
0x9a363adc5d382c04d36b09158286328f75672098,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,2,0.0,0.0,0.0,7,0,1,0,0,2,0,0,0,3.5,0.0,2019-08-11 02:33:56+00:00,0.0,0.0,0.0
0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,2,0.0,0.0,0.0,0,2,2,0,0,2,0,0,0,0.0,0.0,2020-10-17 11:13:30+00:00,0.0,0.0,0.0
0x9ba0d85f71e145ccf15225e59631e5a883d5d74a,0.0,33644192.59639349,0.0,0.0,0,0,1,0,0,1,7,3,0.0,33644192.59639349,0.0,2,2,2,0,0,1,0,0,0,0.6666666666666666,0.0,2025-07-04 02:25:11+00:00,33644192.59639349,0.0,0.0
0x9e6ec4e98793970a1307262ba68d37594e58cd78,0.0,2.1589652440529948e+16,2.2421112440529948e+16,0.0,0,0,31,24,11,208,16,36,0.0,696440401307417.6,934213018355414.5,68,93,68,11,3,235,0,0,1,1.8888888888888888,0.3548387096774194,2020-08-24 22:46:10+00:00,2.1589652440529948e+16,0.0,119.57115246148167
0xa7e94d933eb0c439dda357f61244a485246e97b8,0.0,0.0,0.0,0.0,0,0,0,0,1,2,8,2,0.0,0.0,0.0,2,0,3,1,0,3,0,0,0,1.0,1.0,2019-10-08 22:50:23+00:00,0.0,0.0,0.0
0xa98dc64bb42575efec7d1e4560c029231ce5da51,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0.0,0.0,0.0,0,1,1,0,0,2,0,0,0,0.0,0.0,2020-11-01 17:23:28+00:00,0.0,0.0,0.0
0xb271ff7090b39028eb6e711c3f89a3453d5861ee,0.0,0.0,0.0,0.0,0,0,0,0,0,5,4,3,0.0,0.0,0.0,0,3,3,0,0,5,0,0,0,0.0,0.0,2020-10-18 02:45:58+00:00,0.0,0.0,0.0
0xb475576594ae44e1f75f534f993cbb7673e4c8b6,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0.0,0.0,0.0,0,1,1,0,0,2,0,0,0,0.0,0.0,2020-11-08 21:10:43+00:00,0.0,0.0,0.0
0xb57297c5d02def954794e593db93d0a302e43e5c,0.0,0.0,0.0,0.0,0,0,0,0,0,3,4,2,0.0,0.0,0.0,0,2,2,0,0,3,0,0,0,0.0,0.0,2020-11-17 09:40:15+00:00,0.0,0.0,0.0
0xc179d55f7e00e789915760f7d260a1bf6285278b,0.0,0.0,0.0,0.0,0,0,0,0,0,4,4,2,0.0,0.0,0.0,0,2,2,0,0,4,0,0,0,0.0,0.0,2020-12-13 16:48:27+00:00,0.0,0.0,0.0
0xc22b8e78394ce52e0034609a67ae3c959daa84bc,0.0,0.0,0.0,0.0,0,0,0,0,1,11,5,8,0.0,0.0,0.0,1,3,3,1,0,11,0,0,0,0.125,1.0,2021-04-25 13:38:54+00:00,0.0,0.0,0.0
